"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User Login","4","0","","0"
"0","","0","Product Sorting - Edge Cases","5","0","","0"
"0","","0","Product Sorting","8","0","","0"
"0","","0","Checkout","6","0","","0"
"0","","0","Checkout - Negative and Edge Cases","6","0","","0"
"0","","0","Shopping Cart","6","0","","0"
"0","","0","Application Smoke Tests","4","0","","0"
"0","","0","Login - Negative and Edge Cases","5","0","","0"
"0","","0","Shopping Cart - Negative and Edge Cases","5","0","","0"
"0","","0","Complete Purchase - Multiple User Journeys","3","0","","0"
"0","","0","Problem User Journey","1","0","","0"
"0","","0","Complete Purchase Journey","1","0","","0"
"0","","0","Product Sorting - Problem User","1","0","","0"
